id,created_at,user,body,likes,sentiment
616281704,2025-05-30 06:34:48+00:00,thePistolPete,$AAPL “Goldman Sachs Thinks You Should Buy Apple Stock Before June 9”,2,Bullish
616281539,2025-05-30 06:23:20+00:00,golfguy912,$AAPL looks like selling puts at or below $200 is the play,1,None
616281313,2025-05-30 06:10:10+00:00,Heare2dare,$MSFT .... $AAPL ..,1,None
616280697,2025-05-30 05:37:17+00:00,KnuckleSandwich,$AAPL popping in the AH… get ready for gap up at open 💪🏼,2,Bullish
616280639,2025-05-30 05:34:14+00:00,PENN4LIFE,$AAPL well I did a ton of drugs tn thx to Apple. As ripped as I am I still don’t fell better,0,None
616280222,2025-05-30 05:12:07+00:00,cryptoforecast,"$AAPL Apple Stock Prediction 2025, 2026, 2030 
 
https://telegaon.com/apple-stock-prediction/",0,Bullish
616280111,2025-05-30 05:06:53+00:00,onestudy,"$CPHI (1/6) I consider stocks to be living organisms. That’s why I see company leadership as the most important factor when picking a stock—someone who can nourish and nurture it to grow into a baobab tree. I admit it: I’m insatiably greedy. I want to be a successful investor, dreaming of becoming the Warren Buffett of $BRK.B and I’m out here searching for my own 10x play. 
 
So I made a decision: if I couldn’t invest in Steve Jobs at $AAPL or Mark Zuckerberg at $META or Jeff Bezos at Amazon or Elon Musk at $TSLA during their early days…then I’d go find my version of them today. That one founder with vision, grit, and the guts to build something big. For me, that person is Zhilin Li, CEO of CPHI. Quiet, strategic, and playing the game with integrity—I believe she’s building something the market hasn’t fully woken up to yet. 
 
With that said. I think. It’s time to get real.  
[to be continued below]",0,Bullish
616279862,2025-05-30 04:55:09+00:00,STIndiaNewsBot,"$AAPL
〰️〰️
▶️ China, HK shares dip as Apple suppliers slip on tariff concerns, auto makers tumble

▶️ CHINA-STOCKS/MIDDAY:China, HK shares dip as Apple suppliers slip on tariff concerns, auto makers tumble",0,None
616279565,2025-05-30 04:40:32+00:00,MapTechnicalForecasting,$AAPL is a no brainer buy right now. 1 year hold looking at like 30% easy .,1,Bullish
616278678,2025-05-30 04:04:47+00:00,Tradepedia,$AAPL not sure why people forgetting that Apple has the largest buy back program,2,None
616278381,2025-05-30 03:54:36+00:00,RLort1,$QQQ anybody have any thoughts on whether we see a good or bad PCE number for April tomorrow? $SPY $NVDA $AAPL.,0,None
616278242,2025-05-30 03:49:52+00:00,Cheetah007,$AAPL can&#39;t believe it&#39;s this  cheap.  Just keep on accumulating more folks.  Paytience!!$,1,Bullish
616277928,2025-05-30 03:39:19+00:00,MetaYeta,$AAPL iPhone manufacturing must come back to the 🇺🇸,1,Bearish
616277909,2025-05-30 03:38:34+00:00,stronginvestor1994,$AAPL $180 is a good buying area. Not $199….,1,Bearish
616277878,2025-05-30 03:37:22+00:00,trading_momentum,"$TSLA 365 TARGET MET 
 
Conviction &gt; Noise — always trust your own analysis folks. Some will hit, some will miss.  
 
But a pro trader will always trust his judgment. Markets will test your conviction &amp; patience on many fronts. Hold the line. 🎯 $SPY $NVDA $QQQ $AAPL",7,None
